Symbol,Ticker,Date,Price,Score,Grade,Screen1,Screen2,MACD_H_Score,MACD_Line_Score,EMA_Score,KC_Score,FI_Score,Stoch_Score,Pattern_Score,All_Weekly,Weekly_MACD_H,Weekly_EMA_20,Weekly_EMA_50,Weekly_EMA_100,Daily_FI2,Daily_Stoch_K,Daily_RSI,Pattern,Entry,Stop,Target,CMP,Diff
CINTAS CORPORATION (XNAS:CTAS),CTAS,24/09/2025,200.04,7,B,3,4,0,1,2,2,1,1,0,No,-3.192,211.34,206.15,193.98,-6738,49.7,33.4,None,202.68,195.41,213.59, $183.15 , $-16.89 
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),CTSH,24/09/2025,68.36,7,B,4,3,2,2,0,1,0,1,1,No,-0.7135,73.03,75.1,75.51,6533,41.2,38.8,Bullish Engulfing,68.5,65.04,73.69, $80.95 , $12.59 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,24/09/2025,46.87,7,B,4,3,2,2,0,2,0,1,0,No,-1.7189,61.55,74.16,79.74,41439,38.7,31.6,None,47.64,43.4,54, $39.40 , $-7.47 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,23/09/2025,121.85,8,A,5,3,2,1,2,1,1,1,0,Yes,-1.3796,118.53,105.42,90.94,-221445,48.2,48.3,None,123.1,120.31,127.28, $96.71 , $-25.14 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,23/09/2025,379.72,8,B,4,4,2,2,0,2,1,1,0,No,-5.6418,420.26,439.43,440.95,-45663,13.9,27.6,None,386.47,375.25,403.3, $437.01 , $57.29 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,23/09/2025,165.68,8,B,4,4,2,2,0,2,1,1,0,No,-1.1022,187.53,203.12,209.09,-44574,11.9,44,None,172.51,162.87,186.97, $161.41 , $-4.27 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,23/09/2025,129,8,B,4,4,2,2,0,2,1,1,0,No,-3.4596,158.28,184.04,206.62,-5215,4.1,44.5,None,132.1,128.26,137.86, $159.00 , $30.00 
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),CTSH,23/09/2025,67.67,8,B,4,4,2,2,0,2,1,1,0,No,-0.7576,72.97,75.07,75.49,-12263,32.3,34.6,None,68.81,65.21,74.21, $80.95 , $13.28 
"AMAZON.COM, INC. (XNAS:AMZN)",AMZN,23/09/2025,220.71,7,B,3,4,0,1,2,2,1,1,0,No,-0.0057,220.87,210.3,198.05,-2295137,3.4,44.6,None,230.81,220.05,246.95, $227.92 , $7.21 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,23/09/2025,5509.02,7,A,5,2,2,1,2,1,0,1,0,Yes,-40.0153,5420.4,5063.13,4663.07,70473,49.2,45.1,None,5482.83,5359.26,5668.18," $5,195.76 ", $-313.26 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,23/09/2025,289.22,7,B,3,4,0,1,2,2,1,1,0,No,-2.5459,300.98,295.72,282.98,-44606,34.1,38.1,None,294.75,286.74,306.76, $258.23 , $-30.99 
CME GROUP INC. (XNAS:CME),CME,23/09/2025,261.96,7,A,5,2,2,1,2,1,0,1,0,Yes,-3.373,268.18,256.77,242.77,6423,29.7,34.9,None,264.11,258.65,272.3, $270.12 , $8.16 
CINTAS CORPORATION (XNAS:CTAS),CTAS,23/09/2025,200.59,7,B,3,4,0,1,2,2,1,1,0,No,-3.1569,211.4,206.17,193.99,-6899,26.7,38.2,None,203.52,198.45,211.13, $183.15 , $-17.44 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,23/09/2025,46.86,7,B,4,3,2,2,0,2,0,1,0,No,-1.7196,61.55,74.16,79.74,122377,34.2,27.8,None,46.73,43.01,52.31, $39.40 , $-7.46 
"OKTA, INC. (XNAS:OKTA)",OKTA,23/09/2025,92.2,7,A,6,1,2,2,2,0,1,0,0,Yes,-1.0046,95.78,95.28,92.77,-3250,64.6,56.7,None,94.44,89.31,102.13, $87.79 , $-4.41 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,22/09/2025,383.13,8,B,4,4,2,2,0,2,1,1,0,No,-5.4242,420.59,439.56,441.03,-28954,7.2,26.9,None,389.85,380.85,403.35, $437.01 , $53.88 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,22/09/2025,131.18,8,B,4,4,2,2,0,2,1,1,0,No,-3.3205,158.49,184.13,206.66,-822,22.4,41,None,132.14,128.26,137.96, $159.00 , $27.82 
CINTAS CORPORATION (XNAS:CTAS),CTAS,22/09/2025,202.59,8,A,5,3,2,1,2,1,0,1,1,Yes,-3.0292,211.59,206.25,194.04,21952,47.4,42.4,Bullish Engulfing,200.87,197.61,205.76, $183.15 , $-19.44 
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),CTSH,22/09/2025,68.16,8,B,4,4,2,2,0,2,1,1,0,No,-0.7263,73.02,75.09,75.5,-22605,38.6,36.1,None,70.65,67.04,76.06, $80.95 , $12.79 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,22/09/2025,943.26,7,B,3,4,0,1,2,2,1,1,0,No,-4.3999,965.35,945.73,892.71,-103928,15.2,51.8,None,958.4,937.73,989.4, $888.44 , $-54.82 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,22/09/2025,179.62,7,B,3,4,0,1,2,2,1,1,0,No,-2.3018,189.75,188.62,185.88,-17361,21.5,17,None,183.43,176.93,193.18, $179.52 , $-0.10 
"INTUITIVE SURGICAL, INC. (XNAS:ISRG)",ISRG,22/09/2025,444.55,7,B,4,3,2,2,0,1,0,1,1,No,-7.086,486.69,494.28,469.43,106101,34.5,39.5,Bullish Engulfing,440.94,428.86,459.06, $558.13 , $113.58 
BOOKING HOLDINGS INC. (XNAS:BKNG),BKNG,22/09/2025,5457.13,7,B,3,4,0,1,2,1,1,1,1,No,-43.3268,5415.46,5061.09,4661.98,-4548,30.8,46.9,Bullish Engulfing,5471.14,5359.26,5638.96," $5,195.76 ", $-261.37 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,22/09/2025,293.66,7,A,5,2,2,1,2,1,0,0,1,Yes,-2.2625,301.41,295.89,283.08,25561,55.8,41.7,Bullish Engulfing,293.8,282.52,310.72, $258.23 , $-35.43 
CME GROUP INC. (XNAS:CME),CME,22/09/2025,261.08,7,A,5,2,2,1,2,1,0,1,0,Yes,-3.4292,268.09,256.73,242.76,3,23.3,42.1,None,263.59,257.36,272.93, $270.12 , $9.04 
"THE TRADE DESK, INC. (XNAS:TTD)",TTD,22/09/2025,46.15,7,B,4,3,2,2,0,2,0,1,0,No,-1.7649,61.48,74.13,79.73,183235,27.2,23.6,None,44.62,43.01,47.03, $39.40 , $-6.75 
"OKTA, INC. (XNAS:OKTA)",OKTA,22/09/2025,92.38,7,A,6,1,2,2,2,0,1,0,0,Yes,-0.9931,95.8,95.28,92.77,-5374,68.1,58,None,94.24,89.15,101.87, $87.79 , $-4.59 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,19/09/2025,383.12,8,B,4,4,2,2,0,2,1,1,0,No,-6.0018,424.53,441.87,442.34,-87111,2.6,41.9,None,391.05,381.83,404.88, $437.01 , $53.89 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,19/09/2025,130,8,B,4,4,0,2,2,2,1,1,0,No,-1.8802,141.85,141.82,138.22,-19978,6.9,25.5,None,133,129.07,138.9, $112.74 , $-17.26 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,19/09/2025,131.39,8,B,4,4,2,2,0,2,1,1,0,No,-3.6866,161.36,186.29,207.93,-1121,24.2,36,None,133.02,128.26,140.16, $159.00 , $27.61 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,19/09/2025,179.37,7,B,3,4,0,1,2,2,1,1,0,No,-1.9042,190.81,188.99,186.08,-66582,20.5,15,None,183.9,173.66,199.26, $179.52 , $0.15 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,19/09/2025,262.55,7,B,4,3,2,2,0,1,1,1,0,No,-10.7132,315.43,338.13,344.81,-10561,47,44.8,None,268.89,257.73,285.63, $205.13 , $-57.42 
MONSTER BEVERAGE CORPORATION (XNAS:MNST),MNST,19/09/2025,64.13,7,A,5,2,2,1,2,0,1,1,0,Yes,-0.0832,61.67,58.56,56.78,-24134,42.6,58.3,None,66.64,63.94,70.69, $73.57 , $9.44 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,19/09/2025,169.05,7,B,4,3,2,2,0,1,1,1,0,No,-1.2015,189.84,204.65,209.94,-9901,19.4,39.7,None,175.88,167.77,188.04, $161.41 , $-7.64 
GLOBALFOUNDRIES INC. (XNAS:GFS),GFS,19/09/2025,32.9,7,B,4,3,2,2,0,1,1,1,0,No,-0.3997,35.66,38.88,42.99,-3330,49.6,45.2,None,33.68,31.73,36.6, $39.96 , $7.06 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,18/09/2025,387.11,8,B,4,4,2,2,0,2,1,1,0,No,-5.7471,424.91,442.02,442.43,-29442,12.5,44.6,None,396.71,384.1,415.62, $437.01 , $49.90 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,18/09/2025,131.11,8,B,4,4,0,2,2,2,1,1,0,No,-1.8094,141.96,141.86,138.25,-8946,9.5,29.9,None,134.27,129.97,140.72, $112.74 , $-18.37 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,18/09/2025,262.17,7,B,4,3,2,2,0,1,1,1,0,No,-10.7375,315.39,338.11,344.8,-46215,45.4,47.6,None,274.92,259.62,297.87, $205.13 , $-57.04 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,18/09/2025,169.63,7,B,4,3,2,2,0,1,1,1,0,No,-1.1645,189.89,204.67,209.96,-18350,22.5,41.7,None,177.07,167.77,191.02, $161.41 , $-8.22 
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,18/09/2025,106.44,7,B,3,4,0,1,2,2,1,1,0,No,-0.2652,107.6,103.31,98.46,-7154,2.6,24.7,None,108.04,106.09,110.97, $116.07 , $9.63 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,18/09/2025,132.57,7,B,4,3,2,2,0,2,0,1,0,No,-3.6113,161.47,186.34,207.95,7298,27.4,38.6,None,134.95,128.26,144.98, $159.00 , $26.43 
CME GROUP INC. (XNAS:CME),CME,18/09/2025,260.59,7,B,3,4,0,1,2,2,1,1,0,No,-3.5497,268.74,256.52,242.58,-15250,19.8,38.7,None,263.29,257.36,272.19, $270.12 , $9.53 
CINTAS CORPORATION (XNAS:CTAS),CTAS,18/09/2025,199.51,7,B,3,4,0,1,2,2,1,1,0,No,-3.1518,212.48,206.37,194.1,-1894,12.3,30.4,None,203.1,197.61,211.33, $183.15 , $-16.36 
"OKTA, INC. (XNAS:OKTA)",OKTA,17/09/2025,90,9,A,6,3,2,2,2,1,1,1,0,Yes,-1.4381,95.84,95.27,92.76,-1958,24.4,41.1,None,91.09,88.72,94.65, $87.79 , $-2.21 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,17/09/2025,387.15,8,B,4,4,2,2,0,2,1,1,0,No,-5.7446,424.91,442.02,442.43,-86521,5.1,48,None,395.85,385.55,411.3, $437.01 , $49.86 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,17/09/2025,172.25,7,B,4,3,2,2,0,1,1,1,0,No,-0.9973,190.14,204.77,210.01,-2971,36.5,50.4,None,176.14,170.89,184.01, $161.41 , $-10.84 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,17/09/2025,132.46,7,B,4,3,0,2,2,2,0,1,0,No,-1.7232,142.09,141.92,138.28,4096,24,32.5,None,132.53,129.97,136.37, $112.74 , $-19.72 
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,17/09/2025,107.52,7,B,3,4,0,1,2,2,1,1,0,No,-0.1963,107.7,103.36,98.48,-1811,13.9,24.6,None,109.25,106.4,113.52, $116.07 , $8.55 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,17/09/2025,288.75,7,B,3,4,0,1,2,2,1,1,0,No,-2.5406,301.91,295.86,283.04,-12956,28.1,30.8,None,292.2,281.71,307.94, $258.23 , $-30.52 
"OKTA, INC. (XNAS:OKTA)",OKTA,16/09/2025,89.92,9,A,6,3,2,2,2,1,1,1,0,Yes,-1.4433,95.83,95.27,92.76,-8258,16.4,45.6,None,91.9,89.11,96.09, $87.79 , $-2.13 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,16/09/2025,131.62,8,B,4,4,0,2,2,2,1,1,0,No,-1.7768,142.01,141.88,138.26,-11349,14.9,31.6,None,135.92,131.13,143.1, $112.74 , $-18.88 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,16/09/2025,177.63,7,B,3,4,0,1,2,2,1,1,0,No,-2.0152,190.65,188.92,186.05,-75698,10.9,3.2,None,179.4,173.66,188.01, $179.52 , $1.89 
INTUIT INC. (XNAS:INTU),INTU,16/09/2025,651.3,7,B,3,4,0,1,2,2,1,1,0,No,-16.314,695.21,672.54,654.06,-660,28.2,43.9,None,653.29,638.97,674.77, $655.75 , $4.45 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,16/09/2025,391.36,7,B,4,3,2,2,0,1,1,1,0,No,-5.4759,425.31,442.19,442.52,-29723,32.1,54.5,None,398.69,385.55,418.4, $437.01 , $45.65 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,16/09/2025,172.04,7,B,4,3,2,2,0,1,1,1,0,No,-1.0107,190.12,204.76,210.01,-12287,35.4,57.4,None,176.85,170.96,185.68, $161.41 , $-10.63 
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,16/09/2025,106.84,7,B,3,4,0,1,2,2,1,1,0,No,-0.2397,107.64,103.33,98.47,-19531,3.5,21.5,None,109.89,106.78,114.56, $116.07 , $9.23 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,16/09/2025,131.82,7,B,4,3,2,2,0,2,0,1,0,No,-3.6592,161.4,186.31,207.94,267,7.9,34.9,None,133.85,130.58,138.75, $159.00 , $27.18 
"GILEAD SCIENCES, INC. (XNAS:GILD)",GILD,16/09/2025,110.86,7,B,3,4,0,1,2,2,1,1,0,No,-0.6294,111.36,103.47,95.94,-49777,8.9,38.4,None,113.78,109.93,119.55, $119.36 , $8.50 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,16/09/2025,288.69,7,B,3,4,0,1,2,2,1,1,0,No,-2.5445,301.91,295.86,283.04,-40898,27.9,30.4,None,295.22,284.47,311.35, $258.23 , $-30.46 
CME GROUP INC. (XNAS:CME),CME,16/09/2025,259.83,7,B,3,4,0,1,2,2,1,1,0,No,-3.5982,268.67,256.49,242.57,-2933,13.7,28.9,None,264.69,257.36,275.68, $270.12 , $10.29 
CINTAS CORPORATION (XNAS:CTAS),CTAS,16/09/2025,199.29,7,B,3,4,0,1,2,2,1,1,0,No,-3.1659,212.45,206.36,194.09,-6811,8.1,24.1,None,203.19,197.61,211.56, $183.15 , $-16.14 
EXELON CORPORATION (XNAS:EXC),EXC,16/09/2025,42.73,7,B,3,4,0,1,2,2,1,1,0,No,-0.2612,43.68,42.34,40.63,-15223,1.6,21.4,None,43.71,42.61,45.36, $43.76 , $1.03 
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH),CTSH,16/09/2025,69.17,7,B,4,3,2,2,0,2,0,1,0,No,-0.6288,73.74,75.46,75.71,3505,25.2,36.9,None,69.41,67.77,71.87, $80.95 , $11.78 
GLOBALFOUNDRIES INC. (XNAS:GFS),GFS,16/09/2025,32.02,7,B,4,3,2,2,0,2,0,1,0,No,-0.4559,35.58,38.84,42.97,511,14.4,28.7,None,32.41,31.53,33.73, $39.96 , $7.94 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,15/09/2025,131.97,8,B,4,4,0,2,2,2,1,1,0,No,-1.7545,142.04,141.9,138.26,-23256,2.7,31.4,None,136.11,131.5,143.03, $112.74 , $-19.23 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,15/09/2025,131.06,8,B,4,4,2,2,0,2,1,1,0,No,-3.7077,161.33,186.28,207.92,-3707,1.4,30.4,None,135.66,130.58,143.28, $159.00 , $27.94 
"OKTA, INC. (XNAS:OKTA)",OKTA,15/09/2025,90.91,8,A,6,2,2,2,2,1,0,1,0,Yes,-1.3801,95.93,95.31,92.78,437,25.6,48.8,None,92.56,89.47,97.2, $87.79 , $-3.12 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,15/09/2025,960.1,7,A,5,2,2,1,2,1,1,0,0,Yes,-3.4689,968.53,946.18,892.94,-67646,56.2,59.1,None,970.54,952.05,998.27, $888.44 , $-71.66 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,15/09/2025,178.2,7,B,3,4,0,1,2,2,1,1,0,No,-1.9789,190.7,188.95,186.06,-184474,12.5,3.3,None,184.52,175,198.8, $179.52 , $1.32 
INTUIT INC. (XNAS:INTU),INTU,15/09/2025,651.33,7,B,3,4,0,1,2,2,1,1,0,No,-16.3121,695.21,672.54,654.06,-1036,28.3,46,None,661.06,638.97,694.19, $655.75 , $4.42 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,15/09/2025,260.72,7,B,4,3,2,2,0,1,1,1,0,No,-10.83,315.25,338.06,344.77,-35929,42.5,30.2,None,266.4,255.59,282.61, $205.13 , $-55.59 
ATLASSIAN CORPORATION (XNAS:TEAM),TEAM,15/09/2025,173.87,7,B,4,3,2,2,0,1,1,1,0,No,-0.8939,190.29,204.84,210.05,-8446,49.1,54.7,None,177.23,172.85,183.8, $161.41 , $-12.46 
"WORKDAY, INC. (XNAS:WDAY)",WDAY,15/09/2025,222.75,7,B,4,3,2,2,0,1,1,1,0,No,-0.6737,232.93,241.15,247.98,-16197,13.6,48.9,None,227.59,219.99,238.99, $222.25 , $-0.50 
"GILEAD SCIENCES, INC. (XNAS:GILD)",GILD,15/09/2025,112.54,7,B,3,4,0,1,2,2,1,1,0,No,-0.5222,111.52,103.53,95.98,-60563,18.4,44.8,None,117.75,113.49,124.14, $119.36 , $6.82 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,15/09/2025,290.87,7,B,3,4,0,1,2,2,1,1,0,No,-2.4054,302.11,295.94,283.08,-15272,4.4,31.9,None,297.16,289.62,308.47, $258.23 , $-32.64 
CME GROUP INC. (XNAS:CME),CME,15/09/2025,258.83,7,B,3,4,0,1,2,2,1,1,0,No,-3.662,268.57,256.45,242.55,-46143,3.5,26.8,None,263.88,257.79,273.01, $270.12 , $11.29 
CINTAS CORPORATION (XNAS:CTAS),CTAS,15/09/2025,199.71,7,B,3,4,0,1,2,2,1,1,0,No,-3.1391,212.49,206.38,194.1,-13014,2,27.6,None,205.44,199.03,215.06, $183.15 , $-16.56 
GLOBALFOUNDRIES INC. (XNAS:GFS),GFS,15/09/2025,32.22,7,B,4,3,2,2,0,2,0,1,0,No,-0.4431,35.59,38.85,42.98,6082,19.1,26.1,None,32.25,31.53,33.33, $39.96 , $7.74 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,12/09/2025,262.2,10,A,6,4,2,2,2,2,1,1,0,Yes,-4.7975,284.12,283.42,274.3,-21470,6.3,38.4,None,267.53,260.9,277.47, $216.03 , $-46.17 
"OKTA, INC. (XNAS:OKTA)",OKTA,12/09/2025,90.34,9,A,6,3,2,2,2,1,1,1,0,Yes,-1.5769,96.45,95.49,92.87,-10274,20.3,45.2,None,92.23,89.47,96.37, $87.79 , $-2.55 
"FORTINET, INC. (XNAS:FTNT)",FTNT,12/09/2025,79.68,8,A,6,2,2,2,2,1,1,0,0,Yes,-2.8792,90.84,90.49,84.16,-7973,74.6,48.8,None,81.31,78.74,85.17, $83.50 , $3.82 
"NETFLIX, INC. (XNAS:NFLX)",NFLX,12/09/2025,118.84,7,B,3,4,0,1,2,2,1,1,0,No,-1.5103,117.71,104.02,90.09,-3848911,7.1,46.2,None,125.48,119.83,133.96, $96.71 , $-22.13 
"CISCO SYSTEMS, INC. (XNAS:CSCO)",CSCO,12/09/2025,66.53,7,B,3,4,0,1,2,2,1,1,0,No,-0.314,66,61.94,58.37,-93180,11.6,45.4,None,68.64,66.51,71.83, $79.51 , $12.98 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,12/09/2025,182.6,7,B,3,4,0,1,2,2,1,1,0,No,-1.124,192.02,189.38,186.3,-40910,3.5,3.9,None,185,181.9,189.65, $179.52 , $-3.08 
INTUIT INC. (XNAS:INTU),INTU,12/09/2025,646.03,7,B,3,4,0,1,2,2,1,1,0,No,-15.8228,699.83,673.4,654.43,-260391,2.1,38.1,None,667.06,644.02,701.62, $655.75 , $9.72 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,12/09/2025,263.4,7,B,4,3,2,2,0,1,1,1,0,No,-12.5206,320.99,341.21,346.5,-3658,46.6,28.9,None,264.76,251.3,284.95, $205.13 , $-58.27 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,12/09/2025,293.5,7,B,3,4,0,1,2,2,1,1,0,No,-2.1001,303.3,296.15,283.18,-7803,17.9,30.6,None,299.52,289.8,314.1, $258.23 , $-35.27 
CINTAS CORPORATION (XNAS:CTAS),CTAS,12/09/2025,202.37,7,B,3,4,0,1,2,2,1,1,0,No,-2.7719,213.84,206.65,194.24,-2644,15.7,26.5,None,205.28,199.56,213.86, $183.15 , $-19.22 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,11/09/2025,135.46,9,A,6,3,2,2,2,1,0,1,1,Yes,-1.6252,143.14,142.31,138.49,8622,34.5,42.1,Bullish Engulfing,135.19,132.18,139.7, $112.74 , $-22.72 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,11/09/2025,266.24,8,A,6,2,2,2,2,1,0,1,0,Yes,-4.5397,284.5,283.57,274.38,10716,36.1,41.9,None,268.46,260.9,279.8, $216.03 , $-50.21 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,11/09/2025,184.35,7,B,3,4,0,1,2,2,1,1,0,No,-1.0123,192.19,189.45,186.34,-5096,9.7,21.8,None,185.7,181.9,191.4, $179.52 , $-4.83 
INTUIT INC. (XNAS:INTU),INTU,11/09/2025,660.52,7,B,3,4,0,1,2,2,1,1,0,No,-14.8981,701.21,673.97,654.74,-56876,48.8,29.5,None,670.6,652.04,698.44, $655.75 , $-4.77 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,11/09/2025,135.91,7,B,4,3,2,2,0,2,0,1,0,No,-3.5318,164.93,188.7,209.33,8254,25.5,44.6,None,138.68,132.22,148.37, $159.00 , $23.09 
KEURIG DR PEPPER INC. (XNAS:KDP),KDP,11/09/2025,27.59,7,B,2,5,0,2,0,2,1,1,1,No,-0.638,32.39,32.97,32.97,-945,5.8,12.4,Bullish Engulfing,27.51,27.05,28.2, $29.06 , $1.47 
"OKTA, INC. (XNAS:OKTA)",OKTA,11/09/2025,91.96,7,A,6,1,2,2,2,0,0,1,0,Yes,-1.4735,96.61,95.55,92.9,1342,35.4,55.9,None,94.43,89.47,101.87, $87.79 , $-4.17 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,10/09/2025,262.77,10,A,6,4,2,2,2,2,1,1,0,Yes,-4.7611,284.17,283.44,274.31,-36932,10.1,37.6,None,274.1,265.39,287.17, $216.03 , $-46.74 
"OKTA, INC. (XNAS:OKTA)",OKTA,10/09/2025,90.21,9,A,6,3,2,2,2,1,1,1,0,Yes,-1.5852,96.44,95.48,92.87,-35080,19.1,47.7,None,94.04,88.1,102.95, $87.79 , $-2.42 
COSTCO WHOLESALE CORPORATION (XNAS:COST),COST,10/09/2025,956.29,8,A,5,3,2,1,2,1,1,1,0,Yes,-4.6898,968.31,945.16,892.38,-236156,41.1,35.9,None,980.85,951.06,1025.54, $888.44 , $-67.85 
"FORTINET, INC. (XNAS:FTNT)",FTNT,10/09/2025,79.48,8,A,6,2,2,2,2,1,1,0,0,Yes,-2.892,90.82,90.48,84.15,-1728,79.7,49.6,None,80.48,76.7,86.15, $83.50 , $4.02 
VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX),VRTX,10/09/2025,388.55,8,B,4,4,2,2,0,2,1,1,0,No,-6.6023,428.32,444.03,443.59,-85153,24.6,43.5,None,397.71,386.42,414.64, $437.01 , $48.46 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,10/09/2025,133.07,8,B,4,4,0,2,2,2,1,1,0,No,-1.7777,142.91,142.22,138.43,-8589,7.2,32.7,None,135.93,132.18,141.56, $112.74 , $-20.33 
TEXAS INSTRUMENTS INCORPORATED (XNAS:TXN),TXN,10/09/2025,184.01,7,B,3,4,0,1,2,2,1,1,0,No,-1.034,192.15,189.44,186.33,-32857,8.5,20.9,None,185.85,181.33,192.63, $179.52 , $-4.49 
INTUIT INC. (XNAS:INTU),INTU,10/09/2025,656.26,7,B,3,4,0,1,2,2,1,1,0,No,-15.17,700.81,673.8,654.65,-394176,23.5,25.6,None,674.37,652.04,707.87, $655.75 , $-0.51 
"CHARTER COMMUNICATIONS, INC. (XNAS:CHTR)",CHTR,10/09/2025,263,7,B,4,3,2,2,0,1,1,1,0,No,-12.5462,320.96,341.2,346.49,-3383,36.4,45.8,None,264.45,251.3,284.17, $205.13 , $-57.87 
"CROWDSTRIKE HOLDINGS, INC. (XNAS:CRWD)",CRWD,10/09/2025,424.87,7,A,5,2,2,1,2,1,0,1,0,Yes,-9.8295,435.08,402.89,368.52,21409,49,53.2,None,431.44,404.63,471.65, $517.98 , $93.11 
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,10/09/2025,292.39,7,B,3,4,0,1,2,2,1,1,0,No,-2.171,303.19,296.1,283.16,-50159,10.8,25.7,None,299.2,289.84,313.24, $258.23 , $-34.16 
CME GROUP INC. (XNAS:CME),CME,10/09/2025,259.91,7,B,3,4,0,1,2,2,1,1,0,No,-3.5747,269.37,256.26,242.39,-26486,8.2,23.8,None,263.46,257.99,271.66, $270.12 , $10.21 
CINTAS CORPORATION (XNAS:CTAS),CTAS,10/09/2025,201.4,7,B,3,4,0,1,2,2,1,1,0,No,-2.8338,213.75,206.61,194.22,-6985,7.7,18.2,None,202.94,199.56,208.01, $183.15 , $-18.25 
"VERISK ANALYTICS, INC. (XNAS:VRSK)",VRSK,09/09/2025,268.66,9,A,6,3,2,2,2,1,1,1,0,Yes,-4.3852,284.73,283.67,274.43,-17615,41.6,45.6,None,273.47,265.01,286.16, $216.03 , $-52.63 
"PAYCHEX, INC. (XNAS:PAYX)",PAYX,09/09/2025,134.41,8,B,4,4,0,2,2,2,1,1,0,No,-1.6922,143.04,142.27,138.46,-5282,9.2,35.3,None,136.19,133.45,140.3, $112.74 , $-21.67 
"ALIGN TECHNOLOGY, INC. (XNAS:ALGN)",ALGN,09/09/2025,135.93,8,B,4,4,2,2,0,2,1,1,0,No,-3.5305,164.93,188.7,209.33,-7171,25.7,40.5,None,140.02,130.74,153.94, $159.00 , $23.07 
